fname,angle,labels
HY0front.jpg,47.53355888839457,1
HY1front.jpg,50.90614111377051,0
HY2front.jpg,43.91907581333932,1
HY3front.jpg,45.0,1
HY4front.jpg,44.04515874612782,1
HY5front.jpg,41.36704926051179,1
HY6front.jpg,43.57973445360096,1
HY7front.jpg,50.38931175997341,0
HY8front.jpg,44.492970939085225,1
HY9front.jpg,43.09084756700362,1
HY10front.jpg,48.88790956083307,1
HY11front.jpg,41.98721249581666,1
HY12front.jpg,43.47923033885623,1
HY13front.jpg,43.99491399474582,1
HY14front.jpg,42.63375200854421,1
HY15front.jpg,52.96961039432136,0
HY16front.jpg,51.115503566285405,0
HY17front.jpg,48.30186567443501,1
HY18front.jpg,47.082565279730886,1
HY19front.jpg,47.67542665602915,1
HY20front.jpg,41.98721249581666,1
HY21front.jpg,49.864514437760526,1
HY22front.jpg,49.99374398582339,1
HY23front.jpg,47.33730585912382,1
HY24front.jpg,46.60600298928225,1
HY25front.jpg,52.04576912486749,0
HY26front.jpg,51.60483549675397,0
HY27front.jpg,54.090276920822326,0
HY28front.jpg,49.4748965062461,1
HY29front.jpg,49.899092453787766,1
HY30front.jpg,50.9468630539735,0
HY31front.jpg,51.34019174590991,0
HY32front.jpg,56.09372301155785,0
HY33front.jpg,65.22485943116808,0
HY34front.jpg,66.2796044276954,0
HY35front.jpg,60.7807533095154,0
HY36front.jpg,58.76078511179124,0
HY37front.jpg,59.03624346792648,0
HY38front.jpg,56.53462065364472,0
HY39front.jpg,62.02052561151985,0
HY40front.jpg,62.76485330069748,0
HY41front.jpg,58.07912378006683,0
HY42front.jpg,57.42594286542749,0
HY43front.jpg,60.06848815949221,0
HY44front.jpg,59.96671956400488,0
HY45front.jpg,61.15733986458794,0
HY46front.jpg,64.11297373367331,0
HY47front.jpg,63.08344538304867,0
HY48front.jpg,60.06848815949221,0
HY49front.jpg,58.39249775375109,0
HY50front.jpg,60.06848815949221,0
HY51front.jpg,62.38697217691553,0
HY52front.jpg,63.08344538304867,0
HY53front.jpg,62.02052561151985,0
HY54front.jpg,67.20347853205739,0
HY55front.jpg,62.72323661688631,0
HY56front.jpg,62.02052561151985,0
HY57front.jpg,55.2568198416964,0
HY58front.jpg,54.46232220802562,0
HY59front.jpg,56.09372301155785,0
HY60front.jpg,52.52382043863863,0
HY61front.jpg,52.52382043863863,0
HY62front.jpg,51.80131482398158,0
HY63front.jpg,51.115503566285405,0
